Mon Jan 30 7:16:34 BOT 2012: Busqueda Inteligente: resultados >104111
Mon Jan 30 9:42:56 BOT 2012: Busqueda Inteligente: Resultado 
 133883;Bleeding Heart;Jimi Hendrix;Wisin y Yandel Regalo 2x1
103545;Bleeding Me;Metallica;Rock
144153;Cuanto Cuestas Cuanto Vales;opratel;Carnavaleando con Tigo
104398;Es que te amo;LOS LEALES;Cumbia
103987;QUE NO ME FALTE JAMAS;LOS LEALES;Cumbia
104968;Amor Salvaje;Soledad Pastorutti;Latinas
104969;Cancion Del Adios;Soledad Pastorutti;Latinas
127898;Crazy Little Thing Called;Queen;Clasicos
121518;Esta vida Soledad;Soledad Pastorutti;Latinas
122542;La soledad;Juanes;Latinas
121519;Mi Credo Soledad;Soledad Pastorutti;Latinas
135713;No Se Olvida Feat Soledad;fRANCO dE vITA;Latinas
104970;Que Nadie Sepa Mi Sufrir;Soledad Pastorutti;Latinas
121524;Tu carcel Soledad;Soledad Pastorutti;Latinas
104971;Vuela Una Lagrima (Soledad);Soledad Pastorutti;Latinas
103928;Keeps Gettin Better;Christina Aguilera;Pop
103500;Partouze;Steve Angello Sebastian Ingrosso;Electronicas
102630; Lloro Por Ti;Enrique Iglesias;Enrique Inglesias
106294;-Speechless-;Cover Lady GaGa;Pop
103469;2Donde Estan Corazon2;Enrique Iglesias;Enrique Inglesias
103767;A Buscar El Sol;ElencoHighSchoolMusical;Infantiles
103627;Addicted;Enrique Iglesias;Enrique Inglesias
126470;Adeste Fideles O Come All Ye Faithful;Frank Sinatra;Pop
102788;Adicted;Enrique Iglesias;Enrique Inglesias
572;Alguien soy yo;Enrique Iglesias;Enrique Inglesias
103628;Alguien Soy Yo.;Enrique Iglesias;Enrique Inglesias
102893;alguien soy yo2;Enrique Iglesias;Enrique Inglesias
102817;amanecio;Los Internacionales;Latinas
104364;Amigas como tu;ISA;Infantiles
104972;Amigas como tu TKM;ISA;Infantiles
105309;Amigos Especiales;Big Yamo;Latinas
102818;amor anejo;Los Internacionales;Latinas
104441;Angeles;Merche;Latinas
103082;Angeles caidos;Ataque77;Latinas
133413;Ayer_;Enrique Iglesias;Latinas
102625;Bailamos;Enrique Iglesias;Enrique Inglesias
573;Be with you;Enrique Iglesias;Enrique Inglesias
102789;be wiyh you;Enrique Iglesias;Enrique Inglesias
104739;Besos Faciles;Sonohra;Latinas
102812;Besos Frios;Los Internacionales;Latinas
113024;Blooming 1 Tigre 0;Hernan Boyero;Goles
113032;Blooming 1 Wilsterman 0;Hernan Sillero;Goles
113034;Blooming 2 La Paz 0;Jose Alfredo Castillo;Goles
